"5177.1";;"5177.1"
;;
;;
;"47077.1";
;;
"66046.1";;"66046.1"
;;"2312.1"
;"44504.1";"44504.1"
"70616.1";"70616.1";
"98665.1";"98665.1";"98665.1"
"104731.1";"104731.2";"104731.3"
;;
"44922.1";;"44922.1"
"104783.1";"104783.3";"104783.2"
"46178.1";;
"9700.1";;"9700.1"
"100048.1";"100048.2";"100048.1"
"100622.2";;"100622.1"
"1028.1";;"1028.1"
"4196.1";"4196.1";"4196.1"
"101091.1";"101091.1";"101091.1"
"100643.1";"100643.2";
;;
"36752.1";"36752.1";"36752.1"
"103308.2";"103308.2";"103308.2"
"23365.1";"23365.1";
"100362.2";"100362.1";"100362.2"
"63253.1";"63253.1";"63253.1"
;;"48002.1"
"104470.1";"104470.2";"104470.1"
"56220.1";;
;;
"42655.1";;"42655.1"
;"34336.1";
;;
"45379.1";"45379.1";
"46347.1";;
;;"85985.1"
;"103458.1";"103458.2"
;;"41000.1"
;"69187.1";"69187.1"
"105036.24";"105036.69";"105036.36"
;;
;;
"39865.1";"39865.1";"39865.1"
"3285.1";"3285.1";
"17795.1";;
"15975.1";;
"5215.1";"5215.1";
"9062.1";"9062.1";"9062.1"
"66867.1";;
"102567.2";"102567.1";"102567.2"
;;"56382.1"
;"103517.1";"103517.1"
;;"6839.1"
;;"51565.1"
;"84151.1";"84151.1"
;"8028.1";
"71580.1";;
"47311.1";"47311.1";
"100748.1";"100748.1";"100748.1"
;"89048.1";
"19737.1";;
;;
"49022.1";;"49022.1"
"37594.1";;"37594.1"
"29995.1";;
;;
"27722.1";"27722.1";"27722.1"
;"42115.1";
"103174.1";;
;"63717.1";
"12306.1";;"12306.1"
"88875.1";;"88875.1"
"75195.1";;
;"12585.1";"12585.1"
"69314.1";"69314.1";
;"86472.1";
;"52897.1";"52897.1"
;;"47756.1"
"41432.1";"41432.1";
"30556.1";"30556.1";"30556.1"
;"61517.1";"61517.1"
"10259.1";;
"105036.26";"105036.76";"105036.13"
;;
"87648.1";;"87648.1"
"103889.1";;"103889.2"
"61349.1";"61349.1";"61349.1"
"96621.1";;
;"94935.1";
"11828.1";;
"35532.1";;
"67153.1";"67153.1";"67153.1"
"17927.1";"17927.1";"17927.1"
;;
"28859.1";"28859.1";"28859.1"
;"60431.1";
"105036.99";"105036.75";"105036.37"
;"79919.1";
"102284.2";"102284.2";"102284.2"
;"10115.1";
"100231.1";"100231.1";
"40053.1";;"40053.1"
"9019.1";;
;;"31983.1"
"104692.3";"104692.1";
;;"56867.1"
;"28575.1";"28575.1"
;;
;"18508.1";
"44891.1";;"44891.1"
;;"98744.1"
;;"16701.1"
"100900.2";"100900.2";"100900.1"
"104910.2";"104910.2";
"102975.1";;
"79457.1";;
"38330.1";;
"103168.2";"103168.1";"103168.1"
"42505.1";;
"88329.1";;"88329.1"
"72398.1";;"72398.1"
"18309.1";"18309.1";
"91294.1";;"91294.1"
"93940.1";"93940.1";"93940.1"
;;
;;"3869.1"
;;"102352.1"
;;
;"91014.1";"91014.1"
;"52971.1";"52971.1"
;"62161.1";"62161.1"
;;"102928.2"
;;
"103752.3";"103752.2";
"16295.1";;
"103729.2";"103729.2";
;"100456.2";"100456.2"
;"61351.1";
;;"90436.1"
;;
;;"30674.1"
;"32803.1";
"88193.1";;
"35770.1";;"35770.1"
"18918.1";"18918.1";
;"100894.2";"100894.1"
"104323.1";"104323.1";"104323.2"
;;
;;
;;
"9320.1";;"9320.1"
;;"92844.1"
;;
"77972.1";;
"38945.1";"38945.1";
;;
"101323.1";;"101323.2"
;"40156.1";"40156.1"
"77680.1";"77680.1";"77680.1"
;;"102255.1"
;"32497.1";
"93168.1";;
"103022.2";;
;;
;"102569.2";
"104739.1";"104739.3";"104739.2"
"32669.1";;
;;
"100330.1";"100330.2";"100330.2"
;"4844.1";
;"55785.1";"55785.1"
;;"50306.1"
"51605.1";;
;"80792.1";"80792.1"
"85769.1";"85769.1";"85769.1"
;"53661.1";
"100206.2";"100206.1";"100206.1"
;;"17776.1"
;;"40149.1"
"102906.2";"102906.1";"102906.2"
"3892.1";"3892.1";"3892.1"
"104053.3";"104053.1";
;"52367.1";"52367.1"
;;
;"79911.1";
;;
;;"26436.1"
"101605.1";"101605.1";
;"93877.1";"93877.1"
;"10065.1";"10065.1"
"10101.1";;"10101.1"
"46971.1";"46971.1";
"85695.1";"85695.1";
;"27555.1";"27555.1"
"8066.1";;
;;"92442.1"
"103929.1";"103929.3";"103929.3"
"102152.2";"102152.2";"102152.1"
"95680.1";"95680.1";
"90579.1";"90579.1";
;;
"103799.3";"103799.3";
"63771.1";"63771.1";
;"7047.1";"7047.1"
"6800.1";"6800.1";
"101130.1";;"101130.1"
"32173.1";"32173.1";
"28192.1";"28192.1";
;;
;;"73232.1"
